+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+FBDA->U+06C6 | ARABIC LETTER OE FINAL FORM                                              | ARABIC LETTER OE                               |
| U+FBDB->U+06C8 | ARABIC LETTER YU ISOLATED FORM                                           | ARABIC LETTER YU                               |
| U+FBDC->U+06C8 | ARABIC LETTER YU FINAL FORM                                              | ARABIC LETTER YU                               |
| U+FBDD->U+0677 | ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM                           | ARABIC LETTER U WITH HAMZA ABOVE               |
| U+FBDE->U+06CB | ARABIC LETTER VE ISOLATED FORM                                           | ARABIC LETTER VE                               |
| U+FBDF->U+06CB | ARABIC LETTER VE FINAL FORM                                              | ARABIC LETTER VE                               |
| U+FBE0->U+06C5 | ARABIC LETTER KIRGHIZ OE ISOLATED FORM                                   | ARABIC LETTER KIRGHIZ OE                       |
| U+FBE1->U+06C5 | ARABIC LETTER KIRGHIZ OE FINAL FORM                                      | ARABIC LETTER KIRGHIZ OE                       |
| U+FBE2->U+06C9 | ARABIC LETTER KIRGHIZ YU ISOLATED FORM                                   | ARABIC LETTER KIRGHIZ YU                       |
| U+FBE3->U+06C9 | ARABIC LETTER KIRGHIZ YU FINAL FORM                                      | ARABIC LETTER KIRGHIZ YU                       |
| U+FBE4->U+06D0 | ARABIC LETTER E ISOLATED FORM                                            | ARABIC LETTER E                                |
| U+FBE5->U+06D0 | ARABIC LETTER E FINAL FORM                                               | ARABIC LETTER E                                |
| U+FBE6->U+06D0 | ARABIC LETTER E INITIAL FORM                                             | ARABIC LETTER E                                |
| U+FBE8->U+0649 | ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA INITIAL FORM            | ARABIC LETTER ALEF MAKSURA                     |
| U+FBFC->U+06CC | ARABIC LETTER FARSI YEH ISOLATED FORM                                    | ARABIC LETTER FARSI YEH                        |
| U+FBFD->U+06CC | ARABIC LETTER FARSI YEH FINAL FORM                                       | ARABIC LETTER FARSI YEH                        |
| U+FBFE->U+06CC | ARABIC LETTER FARSI YEH INITIAL FORM                                     | ARABIC LETTER FARSI YEH                        |
| U+0400->U+0435 | CYRILLIC CAPITAL LETTER IE WITH GRAVE                                    | CYRILLIC SMALL LETTER IE                       |
| U+0401->U+0435 | CYRILLIC CAPITAL LETTER IO                                               | CYRILLIC SMALL LETTER IE                       |
| U+0402->U+0452 | CYRILLIC CAPITAL LETTER DJE                                              | CYRILLIC SMALL LETTER DJE                      |
| U+0403->U+0433 | CYRILLIC CAPITAL LETTER GJE                                              | CYRILLIC SMALL LETTER GHE                      |
| U+0404->U+0454 | CYRILLIC CAPITAL LETTER UKRAINIAN IE                                     | CYRILLIC SMALL LETTER UKRAINIAN IE             |
| U+0405->U+0455 | CYRILLIC CAPITAL LETTER DZE                                              | CYRILLIC SMALL LETTER DZE                      |
| U+0406->U+0456 | CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I                         | CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I |
| U+0407->U+0456 | CYRILLIC CAPITAL LETTER YI                                               | CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I |
| U+0457->U+0456 | CYRILLIC SMALL LETTER YI                                                 | CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I |
| U+040C->U+043A | CYRILLIC CAPITAL LETTER KJE                                              | CYRILLIC SMALL LETTER KA                       |
| U+040D->U+0438 | CYRILLIC CAPITAL LETTER I WITH GRAVE                                     | CYRILLIC SMALL LETTER I                        |
| U+040E->U+0443 | CYRILLIC CAPITAL LETTER SHORT U                                          | CYRILLIC SMALL LETTER U                        |
| U+040F->U+045F | CYRILLIC CAPITAL LETTER DZHE                                             | CYRILLIC SMALL LETTER DZHE                     |
| U+0450->U+0435 | CYRILLIC SMALL LETTER IE WITH GRAVE                                      | CYRILLIC SMALL LETTER IE                       |
| U+0451->U+0435 | CYRILLIC SMALL LETTER IO                                                 | CYRILLIC SMALL LETTER IE                       |
| U+0453->U+0433 | CYRILLIC SMALL LETTER GJE                                                | CYRILLIC SMALL LETTER GHE                      |
| U+045C->U+043A | CYRILLIC SMALL LETTER KJE                                                | CYRILLIC SMALL LETTER KA                       |
| U+045D->U+0438 | CYRILLIC SMALL LETTER I WITH GRAVE                                       | CYRILLIC SMALL LETTER I                        |
| U+045E->U+0443 | CYRILLIC SMALL LETTER SHORT U                                            | CYRILLIC SMALL LETTER U                        |
| U+0460->U+0461 | CYRILLIC CAPITAL LETTER OMEGA                                            | CYRILLIC SMALL LETTER OMEGA                    |
| U+0462->U+0463 | CYRILLIC CAPITAL LETTER YAT                                              | CYRILLIC SMALL LETTER YAT                      |
| U+0464->U+0465 | CYRILLIC CAPITAL LETTER IOTIFIED E                                       | CYRILLIC SMALL LETTER IOTIFIED E               |
| U+0466->U+0467 | CYRILLIC CAPITAL LETTER LITTLE YUS                                       | CYRILLIC SMALL LETTER LITTLE YUS               |
| U+0468->U+0469 | CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS                              | CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS      |
| U+046A->U+046B | CYRILLIC CAPITAL LETTER BIG YUS                                          | CYRILLIC SMALL LETTER BIG YUS                  |
| U+046C->U+046D | CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS                                 | CYRILLIC SMALL LETTER IOTIFIED BIG YUS         |
| U+046E->U+046F | CYRILLIC CAPITAL LETTER KSI                                              | CYRILLIC SMALL LETTER KSI                      |
| U+0470->U+0471 | CYRILLIC CAPITAL LETTER PSI                                              | CYRILLIC SMALL LETTER PSI                      |
| U+0472->U+0473 | CYRILLIC CAPITAL LETTER FITA                                             | CYRILLIC SMALL LETTER FITA                     |
| U+0474->U+0475 | CYRILLIC CAPITAL LETTER IZHITSA                                          | CYRILLIC SMALL LETTER IZHITSA                  |
| U+0476->U+0475 | CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT                 | CYRILLIC SMALL LETTER IZHITSA                  |
| U+0477->U+0475 | CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT                   | CYRILLIC SMALL LETTER IZHITSA                  |
